側向油壓,二次加壓,主油壓,油槽油溫,油泵溫度
3.1,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.1,13.9,48,33.6,31.9
4.3,13.9,47.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,47.8,33.6,31.9
4.3,13.9,48.9,33.6,31.9
3.7,13.9,48,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.7,13.9,48,33.6,31.9
3.6,13.9,47.9,33.6,31.9
4.3,13.9,48.7,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.1,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.1,13.9,47.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.7,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.1,13.9,47.6,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.6,13.9,48.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,47.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.6,13.9,48.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.1,13.9,48.9,33.6,31.9
3.1,13.9,47.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.1,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.1,13.9,47.9,33.6,31.9
4.3,13.9,48.9,33.6,31.9
3.6,13.9,48.7,33.6,31.9
4.3,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.7,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.1,13.9,48.8,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.6,13.9,47.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.6,13.9,48,33.6,31.9
4.3,13.9,48.7,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,48.7,33.6,31.9
3.1,13.9,48.8,33.6,31.9
4.3,13.9,48.7,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.8,47.8,33.6,31.9
3.6,13.7,47.7,33.6,31.9
4.3,14.2,48.8,33.6,31.9
3.6,14.7,48.9,33.6,31.9
3.1,15.2,47.8,33.6,31.9
3.6,14.4,47.8,33.6,31.9
3.1,14.4,47.7,33.6,31.9
3.6,14.4,48.8,33.6,31.9
3.1,15.2,48.7,33.6,31.9
4.3,14.4,48.8,33.6,31.9
3.6,15.2,48.9,33.6,31.9
4.3,15.2,47.9,33.6,31.9
3.6,14.3,48.8,33.6,31.9
3.1,15.2,48.8,33.6,31.9
4.3,14.4,47.7,33.6,31.9
3.7,15.1,47.7,33.6,31.9
3.1,13.8,47.7,33.6,31.9
3.6,13.7,47.7,33.6,31.9
3.1,15.2,47.7,33.6,31.9
3.7,14.4,48,33.6,31.9
3.7,15.2,47.8,33.6,31.9
3.6,15.2,48.8,33.6,31.9
4.3,14.4,48.8,33.6,31.9
3.7,14.4,47.7,33.6,31.9
3.6,15.1,48.8,33.6,31.9
3.6,15.8,48.8,33.6,31.9
4.3,13.8,47.7,33.6,31.9
3.7,13.8,47.7,33.6,31.9
3.1,13.8,48.9,33.6,31.9
3.7,13.7,47.9,33.6,31.9
3.7,14.8,47.7,33.6,31.9
3.6,14.7,47.7,33.6,31.9
4.3,15.2,48.8,33.6,31.9
3.6,15.2,48.7,33.6,31.9
4.3,14.4,48.8,33.6,31.9
4.3,15.2,47.7,33.6,31.9
3.6,15.2,48.9,33.6,31.9
3.1,14.4,48.7,33.6,31.9
3.6,14.4,47.8,33.6,31.9
4.3,15.2,48.7,33.6,31.9
3.7,14.3,48.9,33.6,31.9
3.6,15.2,47.9,33.6,31.9
3.1,14.3,47.7,33.6,31.9
3.7,15.2,48.9,33.6,31.9
3.1,14.4,47.9,33.6,31.9
4.3,14.4,47.7,33.6,31.9
3.7,15.1,47.7,33.6,31.9
3.7,15.8,47.7,33.6,31.9
3.1,13.9,48.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,48,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,47.9,33.6,31.9
3.6,13.9,47.9,33.6,31.9
3.1,13.9,47.7,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.8,47.8,33.6,31.9
4.3,13.8,48.6,33.6,31.9
3.7,13.7,47.8,33.6,31.9
3.7,14.7,47.7,33.6,31.9
3.6,15.2,48.8,33.6,31.9
3.1,14.7,48.8,33.6,31.9
3.7,14.4,48.8,33.6,31.9
3.6,15.1,48.8,33.6,31.9
4.3,15.8,48.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.6,13.9,47.9,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,48.9,33.6,31.9
3.1,13.9,48,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.7,13.9,47.6,33.6,31.9
3.1,13.9,48.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.6,13.9,47.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.7,13.9,47.9,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,47.6,33.6,31.9
3.6,13.9,48.7,33.6,31.9
3.1,13.9,47.6,33.6,31.9
4.3,13.9,47.6,33.6,31.9
3.7,13.9,47.6,33.6,31.9
3.6,13.9,48.7,33.6,31.9
3.1,13.9,47.7,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,47.7,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.1,13.9,48.8,33.6,31.9
4.3,13.9,48.9,33.6,31.9
3.1,13.9,47.9,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,48.9,33.6,31.9
3.7,13.8,48.8,33.6,31.9
3.6,13.8,48.8,33.6,31.9
3.1,13.8,47.8,33.6,31.9
4.3,13.8,48.8,33.6,31.9
3.6,14.7,48.9,33.6,31.9
3.1,15.2,48,33.6,31.9
3.7,14.4,47.8,33.6,31.9
3.7,15.1,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,47.8,33.6,31.9
3.1,13.9,47.8,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.6,13.9,48,33.6,31.9
3.1,13.9,47.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,47.6,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.1,13.9,47.6,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.1,13.9,47.7,33.6,31.9
4.3,13.8,47.7,33.6,31.9
3.7,13.8,48.8,33.6,31.9
3.6,13.8,48.8,33.6,31.9
4.3,14.7,48.8,33.6,31.9
3.6,15.2,47.7,33.6,31.9
3.1,14.7,48.8,33.6,31.9
4.3,15.2,47.7,33.6,31.9
3.7,14.4,47.9,33.6,31.9
3.6,15.8,48.8,33.6,31.9
4.3,13.9,47.7,33.6,31.9
3.6,13.8,47.9,33.6,31.9
4.3,13.7,47.9,33.6,31.9
4.3,14.7,48.8,33.6,31.9
3.6,14.4,47.6,33.6,31.9
3.1,15.1,48.8,33.6,31.9
3.7,13.8,48.7,33.6,31.9
3.6,13.7,48.7,33.6,31.9
3.6,14.8,47.6,33.6,31.9
4.3,14.7,48.8,33.6,31.9
3.6,15.2,48.7,33.6,31.9
4.3,15.2,47.7,33.6,31.9
3.1,14.3,48.9,33.6,31.9
3.1,14.7,47.9,33.6,31.9
3.7,14.3,47.9,33.6,31.9
3.6,14.7,48.8,33.6,31.9
4.3,14.3,47.7,33.6,31.9
3.6,14.7,47.7,33.6,31.9
4.3,15.2,47.7,33.6,31.9
3.6,14.3,47.7,33.6,32
3.1,15.2,47.6,33.6,32
3.6,14.7,48.7,33.6,32
4.3,15.2,47.7,33.6,32
3.6,14.3,47.8,33.6,32
3.1,14.7,48.8,33.6,32
4.3,14.4,47.6,33.6,32
3.1,14.4,48.8,33.6,32
3.7,15.2,48.8,33.6,32
3.6,14.4,48.8,33.6,32
3.1,15.2,47.6,33.6,32
4.3,14.7,48.8,33.6,32
3.1,15.2,47.6,33.6,32
4.3,14.7,47.6,33.6,32
3.6,14.3,47.7,33.6,32
3.1,14.3,48.8,33.6,32
4.3,15.3,48.8,33.6,32
3.6,15.2,48.8,33.6,32
3.1,14.4,48.8,33.6,32
3.7,14.4,48.8,33.6,32
3.6,14.4,47.8,33.6,32
3.1,14.4,47.8,33.6,32
3.6,15.2,48.7,33.6,32
3.1,15.2,48.8,33.6,32
3.7,15.2,47.8,33.6,32
3.7,15.2,47.7,33.6,32
3.6,15.2,47.8,33.6,32
4.3,14.4,48.7,33.6,32
3.7,14.4,48.8,33.6,32
3.1,14.4,47.8,33.6,32
4.3,15.2,47.8,33.6,32
3.7,14.4,47.8,33.6,32
3.6,15.2,48.7,33.6,32
3.1,15.2,47.8,33.6,32
3.6,15.2,47.8,33.6,32
3.1,14.4,48.9,33.7,32
4.3,15.2,48,33.7,32
3.7,14.4,47.9,33.7,32
3.1,14.4,47.7,33.7,32
3.7,15.2,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,14.4,48.7,33.7,32
4.3,15.2,48,33.7,32
3.6,15.2,48.8,33.7,32
4.3,14.4,47.7,33.7,32
3.6,14.4,48,33.7,32
4.3,15.2,48,33.7,32
4.3,14.4,48.7,33.7,32
3.7,14.4,48.9,33.7,32
3.6,15.2,48.7,33.7,32
4.3,15.2,48,33.7,32
3.6,14.4,47.9,33.7,32
3.6,15.2,48.8,33.7,32
4.3,15.2,47.8,33.7,32
3.7,14.4,48.9,33.7,32
3.7,14.4,47.9,33.7,32
3.7,15.2,48.7,33.7,32
3.7,14.4,47.7,33.7,32
3.7,14.4,47.7,33.7,32
3.6,15.2,47.8,33.7,32
3.1,15.2,48.7,33.7,32
4.3,14.4,48,33.7,32
3.1,14.4,48.7,33.7,32
4.3,14.4,48.8,33.7,32
3.7,14.4,47.7,33.7,32
3.1,14.4,48.8,33.7,32
4.3,15.2,48.7,33.7,32
3.7,15.2,47.8,33.7,32
3.7,14.4,48.7,33.7,32
3.6,15.2,47.7,33.7,32
4.3,15.2,47.7,33.7,32
3.7,14.4,47.8,33.7,32
3.6,14.4,48.9,33.7,32
3.1,15.2,48,33.7,32
4.3,14.4,48.8,33.7,32
3.6,15.2,47.7,33.7,32
3.1,15.2,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,14.4,47.7,33.7,32
4.3,15.2,47.8,33.7,32
3.6,15.2,48.7,33.7,32
3.1,14.4,48.8,33.7,32
3.7,14.4,48.8,33.7,32
3.7,15.2,47.8,33.7,32
3.7,14.4,47.7,33.7,32
3.1,15.2,48.8,33.7,32
4.3,15.2,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,14.4,48.7,33.7,32
4.3,15.2,48.8,33.7,32
3.7,14.4,48.8,33.7,32
3.6,14.4,48.8,33.7,32
4.3,14.4,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.1,14.4,47.8,33.7,32
4.3,15.2,48.8,33.7,32
3.7,15.2,48.7,33.7,32
3.6,15.2,48.8,33.7,32
3.1,14.4,48.9,33.7,32
3.7,14.4,48,33.7,32
3.7,14.4,47.8,33.7,32
3.1,14.4,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.7,15.2,47.8,33.7,32
3.1,15.2,48.7,33.7,32
3.1,15.2,48.8,33.7,32
3.7,15.2,48.7,33.7,32
3.1,14.4,48.8,33.7,32
4.3,14.4,48.8,33.7,32
3.7,14.4,47.8,33.7,32
3.7,14.4,48.8,33.7,32
3.7,14.4,47.8,33.7,32
3.7,15.2,48.8,33.7,32
3.6,15.2,48.8,33.7,32
4.3,14.4,47.7,33.7,32
3.7,15.2,47.8,33.7,32
3.6,15.2,48.8,33.7,32
3.1,14.4,47.7,33.7,32
3.7,14.4,47.8,33.7,32
3.1,15.2,48.8,33.7,32
4.3,15.2,48.7,33.7,32
3.7,14.4,48.8,33.7,32
3.1,15.2,47.8,33.7,32
4.3,15.2,48.9,33.7,32
3.1,15.2,48.1,33.7,32
4.3,14.4,47.8,33.7,32
3.6,15.2,48.7,33.7,32
3.1,14.4,48.8,33.7,32
3.6,14.4,47.8,33.7,32
4.3,15.2,48.8,33.7,32
3.7,15.2,48.7,33.7,32
3.6,15.2,48.9,33.7,32
3.6,15.2,47.9,33.7,32
4.3,15.2,48.8,33.7,32
3.6,14.4,47.8,33.7,32
3.1,14.4,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.6,14.4,47.8,33.7,32
3.1,14.4,48.8,33.7,32
4.3,15.2,47.8,33.7,32
3.6,15.2,48.8,33.7,32
3.1,14.4,48.7,33.7,32
3.7,15.2,47.8,33.7,32
3.6,14.4,48.7,33.7,32
3.1,14.4,47.9,33.7,32
3.7,14.4,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,14.4,48.8,33.7,32
4.3,14.4,47.8,33.7,32
3.7,15.2,47.8,33.7,32
3.1,15.2,48.7,33.7,32
3.7,14.4,48.9,33.7,32
3.6,15.2,47.9,33.7,32
3.1,14.4,48.8,33.7,32
4.3,14.4,48.7,33.7,32
3.6,14.4,48.8,33.7,32
3.1,15.2,47.8,33.7,32
3.7,14.4,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,15.2,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.7,14.4,47.8,33.7,32
3.6,15.2,48.8,33.7,32
3.1,14.4,47.8,33.7,32
4.3,14.4,47.8,33.7,32
3.6,15.2,48.8,33.7,32
3.1,15.2,48.7,33.7,32
3.7,15.2,48.8,33.7,32
3.7,15.2,47.8,33.7,32
3.6,15.2,47.7,33.7,32
4.3,14.4,48.9,33.7,32
3.6,14.4,48.8,33.7,32
4.3,14.4,47.8,33.7,32
3.7,15.2,47.8,33.7,32
3.7,14.4,48.7,33.7,32
3.6,15.2,48.8,33.7,32
3.1,15.2,48.8,33.7,32
3.6,15.2,47.7,33.7,32
3.1,14.4,48,33.7,32
3.7,15.2,47.9,33.7,32
3.7,14.4,48.8,33.7,32
3.1,14.4,48.8,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,48.8,33.7,32
3.1,14.4,47.8,33.7,32
4.3,15.2,48.9,33.7,32
3.7,15.2,48.1,33.7,32
3.7,14.4,48.9,33.7,32
3.7,14.4,47.9,33.7,32
3.6,15.2,48.7,33.7,32
3.1,14.4,47.8,33.7,32
4.3,14.4,48.7,33.7,32
3.7,15.2,48.8,33.7,32
3.1,15.2,48.7,33.7,32
3.7,14.4,48.9,33.7,32
3.7,15.2,48,33.7,32
3.7,15.2,48,33.7,32
3.6,14.4,48,33.7,32
4.3,14.4,47.9,33.7,32
3.6,15.2,48.8,33.7,32
3.1,14.4,48.7,33.7,32
4.3,14.4,48.9,33.7,32
3.1,15.2,47.9,33.7,32
4.3,15.2,48.8,33.7,32
3.6,14.4,47.8,33.7,32
4.3,14.4,47.8,33.7,32
3.1,14.4,48.7,33.7,32
3.1,14.4,47.8,33.7,32
3.6,14.4,48.7,33.7,32
3.1,15.2,48.8,33.7,32
3.7,15.2,48.8,33.7,32
3.1,15.2,47.8,33.7,32
3.1,15.2,48.8,33.7,32
3.7,15.2,47.8,33.7,32
3.1,14.4,47.8,33.7,32
4.3,14.4,48.7,33.7,32
3.1,15.2,48.8,33.7,32
3.1,14.4,48.7,33.7,32
3.7,14.4,48.8,33.7,32
3.6,15.2,48.7,33.7,32
4.3,15.2,48.8,33.7,32
3.7,14.4,47.8,33.7,32
3.1,15.2,47.7,33.7,32
4.3,14.4,48.9,33.7,32
3.7,14.4,48,33.7,32
3.1,14.4,48.8,33.7,32
3.7,15.2,48.8,33.7,32
3.7,14.4,48.7,33.7,32
3.7,14.4,48.8,33.7,32
3.7,15.2,48.7,33.7,32
3.1,15.2,48.8,33.7,32
4.3,14.4,48.8,33.7,32
3.7,15.2,47.9,33.7,32
3.6,14.4,48.7,33.7,32
3.1,14.4,47.8,33.7,32
3.7,14.4,48.7,33.7,32
3.6,15.2,47.8,33.7,32
4.3,14.4,48.8,33.7,32
3.7,15.2,48.8,33.7,32
3.6,15.2,48.8,33.7,32
4.3,15.2,47.8,33.7,32
3.7,14.4,47.7,33.7,32
3.6,15.2,48.8,33.7,32
3.1,14.4,47.8,33.7,32
4.3,14.4,47.7,33.7,32
3.6,15.2,48.9,33.7,32
3.1,15.2,47.8,33.7,32
3.7,14.4,48.7,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.1,14.4,48.9,33.7,32
4.3,14.4,48.8,33.7,32
3.7,15.2,47.7,33.7,32
3.1,14.4,48,33.7,32
3.1,14.4,47.9,33.7,32
4.3,15.2,48.8,33.7,32
3.6,15.2,48.9,33.7,32
4.3,14.4,48.1,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.7,14.4,48.8,33.7,32
3.7,14.4,48.9,33.7,32
3.6,15.2,48,33.7,32
3.1,14.4,48.8,33.7,32
3.6,14.4,48.8,33.7,32
3.1,15.2,47.8,33.7,32
4.3,15.2,48.7,33.7,32
3.7,14.4,48.9,33.7,32
3.7,15.2,48,33.7,32
3.7,15.2,47.9,33.7,32
3.7,14.4,47.8,33.7,32
3.7,14.4,48.7,33.7,32
3.1,15.2,48.8,33.7,32
4.3,14.4,48.7,33.7,32
3.7,14.4,48.8,33.7,32
3.7,15.2,48.8,33.7,32
3.6,15.2,48.7,33.7,32
4.3,14.4,48.7,33.7,32
3.7,15.2,47.7,33.7,32
3.7,14.4,48.9,33.7,32
3.7,14.4,48.9,33.7,32
3.6,14.4,48,33.7,32
3.1,15.2,48.8,33.7,32
3.6,14.4,47.7,33.7,32
4.3,15.2,48.8,33.7,32
3.7,15.2,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,14.4,48.8,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,48.8,33.7,32
3.7,14.4,48.8,33.7,32
3.7,14.4,48.7,33.7,32
3.7,15.2,48.8,33.7,32
3.1,15.2,47.8,33.7,32
4.3,15.2,48.7,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.6,14.4,48,33.7,32
4.3,14.4,48.8,33.7,32
3.7,14.4,47.8,33.7,32
3.7,14.4,48.8,33.7,32
3.7,14.4,47.8,33.7,32
3.6,15.2,48.8,33.7,32
4.3,15.2,47.7,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,48.9,33.7,32
3.7,14.4,48.9,33.7,32
3.7,14.4,48.8,33.7,32
3.1,14.4,47.8,33.7,32
4.3,14.4,47.7,33.7,32
3.7,14.4,48.1,33.7,32
3.1,15.2,48.8,33.7,32
3.1,15.2,47.8,33.7,32
3.7,15.2,48.8,33.7,32
3.6,15.2,48.8,33.7,32
4.3,15.2,48.9,33.7,32
3.6,14.4,48,33.7,32
3.1,14.4,47.9,33.7,32
3.7,15.2,48.7,33.7,32
3.6,15.2,47.8,33.7,32
4.3,14.4,48.8,33.7,32
3.7,15.2,48.7,33.7,32
3.7,15.2,47.7,33.7,32
3.7,14.4,47.7,33.7,32
3.6,14.4,48,33.7,32
4.3,15.2,47.9,33.7,32
3.7,14.4,47.8,33.7,32
3.7,14.4,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,15.2,48.8,33.7,32
3.6,15.2,47.8,33.7,32
3.1,15.2,47.7,33.7,32
3.7,15.2,48.8,33.7,32
3.7,14.4,48.8,33.7,32
3.7,14.4,47.8,33.7,32
3.1,15.2,48.8,33.7,32
4.3,14.4,48.8,33.7,32
3.7,14.4,48.7,33.7,32
3.7,15.2,48.9,33.7,32
3.7,15.2,47.9,33.7,32
3.1,14.4,47.9,33.7,32
4.3,15.2,47.7,33.7,32
3.7,15.2,48.9,33.7,32
3.6,14.4,47.9,33.7,32
3.1,14.4,48.8,33.7,32
3.7,14.4,48.9,33.7,32
3.6,14.4,48,33.7,32
4.3,14.4,47.9,33.7,32
3.7,15.2,47.8,33.7,32
3.6,15.2,48.8,33.7,32
4.3,14.4,47.7,33.7,32
3.7,15.2,47.8,33.7,32
3.7,15.2,47.8,33.7,32
3.7,14.4,48,33.7,32
3.7,14.4,47.9,33.7,32
3.7,15.2,47.7,33.7,32
3.1,14.4,47.8,33.7,32
3.7,15.2,48.7,33.7,32
3.7,15.2,48.8,33.7,32
3.7,15.2,47.8,33.7,32
3.6,14.4,47.7,33.7,32
4.3,15.2,47.8,33.7,32
3.1,14.4,48.8,33.7,32
4.3,14.4,47.9,33.7,32
3.7,14.4,48.7,33.7,32
3.6,15.2,48,33.7,32
4.3,14.4,47.9,33.7,32
3.7,15.2,47.8,33.7,32
3.6,15.2,47.9,33.7,32
3.1,14.4,47.9,33.7,32
4.3,14.4,48.8,33.7,32
3.6,15.2,47.7,33.7,32
3.1,14.4,48,33.7,32
3.7,14.4,48.8,33.7,32
3.7,15.2,47.7,33.7,32
3.7,15.2,48.9,33.7,32
3.1,15.2,48,33.7,32
3.7,15.2,48.8,33.7,32
3.7,15.2,48.9,33.7,32
3.7,15.2,48.1,33.7,32
3.7,14.4,48.9,33.7,32
3.7,14.4,48,33.7,32
3.6,14.4,48.8,33.7,32
4.4,14.4,47.8,33.7,32
4,15.2,48.9,33.7,32
3.4,15.2,47.9,33.7,32
3.1,15.2,48.8,33.7,32
4.3,15.2,47.8,33.7,32
3.6,15.2,47.8,33.7,32
4.3,14.4,48.8,33.7,32
3.6,14.4,48.8,33.7,32
3.1,14.4,47.8,33.7,32
4.3,14.4,48.7,33.7,32
3.1,14.4,48.8,33.7,32
4.3,15.2,48.7,33.7,32
3.7,15.2,47.7,33.7,32
3.7,14.4,48.8,33.7,32
3.7,14.4,48.8,33.7,32
3.1,15.2,48.8,33.7,32
4.3,14.4,48.8,33.7,32
3.1,14.4,48.7,33.7,32
4.3,15.2,48.8,33.7,32
3.7,15.2,48.7,33.7,32
3.1,14.4,48.8,33.7,32
